,q_a,label
55,"`  ``I agree.  Wikipedia is not an instrument for the liberalisation of faggotry, which the male anus promotes.  A female anus will suffice.```",1
56,"  == Gertrude of Holland ==  Do not delete my gertrude of holland, its all true and im sick of it beinbg deleted",1
57,  == HOLA FUCKER RETARD WHO HAS NOTHING BETTER TO DO THAN DO WIKIPEDIA SHIT ==  FUCK YOU ASSHOLE,1
58,  == HOLA FUCKER ==  HOLA FUCKER,1
59,  == hola fucker ==  hola fucker,1
60,  == FUCK YOU ALL YOU LOSERS WHO AHVE NOTHING BETTER TO DO ==  FYUCK YOU WHY DONT U STOP ME FROM EDITING ALREADY,1
61,  Well fuck u ur just a twat,1
62,"` ``I'm not homophobic or anything, but you are fucking gay.```",1
63,   Why don't you go fuck your mom  ,1
64,", are you dumber than you look? asshole.",1
65,"You are a racist pig, loser.  Don't vandalize again.  ",1
66,   Frankly I dont have the time nor the inclination to sit and argue with you! If you do ...well... why dont you just go and screw urself!!,1
67, You are a coward and a fool.  ,1
68,  == republic of mosquito ==  FAGGOT! FAGGOT! GET OFF MY INTERNET!,1
69,"  == JIMBO WALES WONT STOP MESSING WITH MY ASS PUS ==  Get the fuck off my internet, worm. Get out now.",1
70,  Shut up you faggot.  4 July 2005 01:23 (UTC),1
71,  Shut up. I can do what the fuck I want.  4 July 2005 01:31 (UTC),1
72,  Also remember the what assuming does it makes an ASS out of U and ME.,1
73,  HA HA HA OWNED LRH RIDES ON YOU LOSE!,1
74,  Lookie lookie at the big bad Jewies!  They think they can gang up and persecute me!   8 July 2005 21:09 (UTC),1
75,  FUCK YOU I WON'T DO WHAT YOU TELL ME!-ANON,1
76,`   um... ghetto speak stays in the ghetto. educated people pronounce the ``r``.`,1
77,"` (UTC) ::That is very rich coming from you. Don't fucking call me ``pathetic``.  17:00, 14 July 2005`",1
78," :Yawn, retard. About half a million people use this IP, you can't do fuck all.  ",1
79,  fuck you you cock biting jew licker. -steve,1
80,"  ===Still A Troll===  Just gotta have the last word, eh? More proof of trolldom.  Ashida Kim",1
81,` I didn't say nothing about leaving. I don't see you ``verifying`` anything. Just more YAPPING!`,1
82,"  SlimVirgin, show me the racial insult that I have used to shut up.  And MAKE SURE you know what the hell you are talking about next time.  ",1
83,"   FUCK YOU, YOU FUCKING DIRTY KIKE. YOU SUPPORT THOSE WHO VANDALIZE PAGES, NOW IT IS TURNED ON YOU",1
84,", or else I'll cure your virginity from the wrong hole",1
85,  -  nothing wrong with being a fag,1
86,"  -kelly this is yo momma speaking, please stop being a nerd.-",1
87, He doesn't consider this vandalism except when it's *his* talk page. Bullshit.,1
88,"  I didn't vandalize your user page, idiot.",1
89,"Ooh I'm so scared, I'm quaking in my boots. Cunt.   ",1
90, I can't believe Wiki is stupid enough as to make this faggot an admin. ,1
91,Your Erectile Dysfunction==  Sorry for making fun of it earlier.    ==,1
92,"do you mean by seems to? More like does, dumbass.    What ",1
93,(was fock you ya bigot) oh and whoever removed it cram it with walnuts and spin on the original faggots pole. natch,1
94," Ya know, why dont you just go fuck yourself you cocksucker",1
95,  == Aquafag ==  If you continue to vandalize MY TALK PAGE you will be blocked from living on the Earth. WAM!   Thank you  ,1
96,  == Japs ==  Its a good thing we bombed them. They were very bad.,1
97,  Stop talking you stink of penis breath.,1
98,  SUCK MY PLUMS YOU STUPID SEPTIC CUNT,1
99,"  == Gannon ==  Man, you guys are total pussies when it comes to Jeff Gannon. Is he your boyfriend or something?",1
100,  What the fuck are you talking about!?,1
101,  Dylan's a pedophile.  ,1
102,  You reverted some important facts from the Bob Carr article. Fuck you.  ,1
103,"  == Yeah ==  If you don't like the team, get the hell out of the stadium. Douche.",1
104,"  Shut up, I fucked your mom's pussy good.",1
105,Please make DreamGuy and his tools stop messing with my user page. I have cleaned it off in good faith and that asshole keeps putting it back    ,1
106," :Don't allow yourself to be intimidated by Alex; he's just a little anxious since  left.  Oh, these faggots and their mood swings!",1
107,  == ? ==  Where are you polish PEDERAST?    == YOU ARE POLISH PEDERAST COCKSUCKER ==  You are slave PEDERAST COCKSUCKER.  ,1
108, I have the strong desire to smear feces all over the faces of those who want this ,1
109,  :Sidenote: Xizer is not a racist. Calling this guy a nigger was just funny though. lol,1
110, :I did use the sandbox. Idiot.  ,1
111,"  == Nig(g)er ==  Shut up, sit down.",1
112,  == I didn't vandalise it you cockface! ==  I just told you shut up and sit down.,1
113,"  That was a mistake the stupid asses at Funimation made, Bardock was never a scientist.",1
114,"`re:Removing content from Wikipedia==  Removing undesirable content entailing logical fallacy like ``Knowledge is belief`` from the article on epistemology in Wikipedia is not vandalism, moron, it is good editing.  ==`",1
115,"You're not very bright, are you   ",1
116,Coming out of the closet are we...Your pic gives off a definite gay-vibe     ,1
117,`    What do you mean ``... as many as 79 verses...``  can't you count you lazy git?   `,1
118,You must have a lot of kleenex by your computer for all the crying you do you baby! Grow up and get a life! ,1
119,  == David ==  Why are you such a bitch?,1
120,  A sockpuppet leave me alone.,1
121,"I agree with you Scoot, but bothie just keeps de;eting anything I say because boothy is a cock sucking fucker  ",1
122,"  == Prick ==  Hey Ryan, Fuck you faggot, how do you like those apples bitch?",1
123," Hey Ryan, Fuck you faggot, how do you like those apples bitch?",1
124,tocBOOTHY IS A FUCKER,1
125,"So fuck off and die, rape fantasising sluts",1
126,`  == Your email. ==  ``The fact that Ryan engages in 'cock foreplay' indicates that he is probably a homosexual.```,1
127, u r sooooooooooooo gay,1
128,"  == Whoops ==  What!? You blocked me from editting? Damn...oh wait, nevermind, you're just an idiot.  p.s. I'm not a person, I'm a reminder.",1
129,your fucking face. faggots,1
130,  :Show some gratitude BITCH )  ,1
131,"  :c'mon BITCH, speak up.",1
132,"  I AM SUPERFAG, FAGGING UP THE INTERNET FOR ALL TO SEE!   ",1
133,  :HE vandalized MINE using a sockpuppet accusation template.  *I* merely returned the favor.  Now blow it out your eye wall!  ,1
134,"  Yay!  Now I'll have time to go work on my dream of laughing at retards who post stupid warnings on peoples' talk pages!  Thanks, By Owner!   ",1
135, king of the world and we will eat a dick,1
136,I demand that you stop your trolling and personal attacks immediately!    ,1
137,", 1 September 2005 (UTC)  p.s.  I think your name is stupid.  That's my POV, and you can cram it in your anus. 05:21",1
138," :Wikipedia doesn't like it when stupidity of moderators is pointed out!  Hahahaha.  Keep on deleting, I will be back to call this mod an idiot again.",1
139,"  == Hurricane Katrina ==  YOU ARE CRAP, YOU FUCKING IDIOT.",1
140, ::He lied on my RFC too.  He's a liar.,1
141,"Suck it!!! Asyou're used to do,ignorant Romanian Nazi!  ",1
142,  Whats the matter bitch? You don't like to suck cock??,1
143,"Speak for yourself, tough guy.  My only interest is in creating a definition that conveys information.  My actions back that up.  Your actions betray your true motivation as well.      ",1
144,WRITE YOUR FUYCKING DISCOUSSION HERE YOU FUCK HEAD,1
145,   THE GUY ABOVE ME IS A WANKER!!  ,1
146,"  shut up, jerk asshole.",1
147,  cut the ass bullshit you are the biggest asshole in asshole history. YOU ASS,1
148,"    : YOU SUCK IT!!! AS YOU'RE USED TO SUCK PHALLUS, NAZI HINDUIST LIKE HITLER!!!",1
149,  suck my hairy plums you fagggot,1
150,.  Neither am I. Pants suck. They should all go to Hell,1
151," : you too, youre retarded!     | E-M  02:32:17, 2005-09-09 (UTC)",1
152,"  == , GAY! Ha ==  I thought the same thing, He might be. this made my day, hahaha!      | E-M  05:22:20, 2005-09-11 (UTC) (this user is Homophobic)",1
153,"  == Don't you just *love* idiots ==  I'm working in TransportSA (Government Agency within South Australia), so it looks like the IP has cycled around again.",1
154,"  ==i am not vandalizing your talk page you stupid bitch==  you must have some other enemies, now do yourself a favor and fuck off",1
155,"`  == ``RE: Suicide`` ==  ``On a lighter note, Raul is a fat prick.```",1
156,"` ::::``Actually, Jarlaxle is right; that shit was done by me. Alex, you're a cunt. 'Nuff said.```",1
157, by Nazi vandal Pavel Vozenilek.',1
158,"  == Lying, scheming, vindictive Weasel ==  Burn in hell.",1
159,  == Burn in hell Weasel ==  Don't believe the JEWISH HOLOCAU$T LIES.,1
160,"  Fuck you, and your family.",1
161,", whilst attempting to suck on my micropenis",1
162,"  == Gay ==  The existence of CDVF is further proof that  is a sad twat. He is also very ugly, and has a willy for a face.",1
163,"stop editing this, you dumbass. why do you have to be such a bitch? the ghosts of bill maas' past will haunt you forever!!! MWAHAHHAHAA  ",1
164,"  Up yours, you authoritarian little Hitlers.",1
165,  == FUCK YOU ALL! ==  GO TO HELL!,1
166,  I'LL KILL YOU ALL!!!!,1
167,LUCKY FUCK YOU!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! IAM FUCKING SPEAKING MY MIND SO FUUUUUUUUU MOTHA MA,1
168," ::Kiand is quick to cry. I'm like the 40th person who noticed this. You need to grow up, bud.",1
169,Hi IM SO GAY AND RETARTED WE SUCK SO MANY BALLS OOOOOOOOOOO I LOVE MEN!!!!!!!!!!!!!!!!,1
170,  == Thanks! ==  Your dog is just the right size for barbecue. Yum!  ,1
171,"  == You're a real cunt, you know that? ==  You're a real cunt, you know that?",1
172,  == BAN ME AND DIE ==  ^_^,1
173,"` ago.`` *[ http://en.wikipedia.org/wiki/Wikipedia:Articles_for_deletion/Abram_Kamensky ``here``] This proves you are a liar, and discredits everything else you claim here.     `",1
174,Prick. Gimme some time to flesh things out. Stop being such a prick.  ,1
175,  == YOU'RE A FAEGET! ==  FAG,1
176,  == Thanks for your help! ==  But you're still a cunt!  ,1
177,"Your Josef Stalin edits are absolutely retarded, Ben. Do something funny.    - Mike (Right across from you)",1
178,"  Your Josef Stalin edits are absolutely retarded, Ben. Do something funny.",1
179,hello old and crazy man.....,1
180, Stuff keilor downs u suck,1
181,  Orane sucks lots of penis.,1
182,"    Orane sucks lots of penis, with genital warts. And he likes getting molested by Michael Jackson.",1
183,  I dont not vandelise this place. Its the other idiots who do. ;),1
184,  == Overly apolegetic to Muslims? ==  Looks like Pakistani sock puppets are very active. Guess they are done with Mukhtaran Mai.,1
185,"  Re last comment, anything else to add Mr 'Brett Maraldo', or is that the best you can come up with !!. Nashferatu.",1
186,   == You suck and we all hate you == YOU SUCK!,1
187,you need to fuck off and stop hrassing people ,1
188,"  :I am of legal drinking age. Again, think before you speak. I hope you used protection.  ",1
189,I've had enough of you. Shut up.    ,1
190,  go fuck yourself you fucking bitch,1
191,"  == Here's an idea ==  Go fuck yourself, cumshitter.",1
192,`  * Mark are you really an entity made of pure energy? Is your ass still painful?   & `,1
193,  == Caitlin Parcell ==          .......................airhead...............................,1
194,"Stop being a shithead, or I will rip off your head and piss down your esophagus, mother fucker.  ",1
195,"   Hey guys, let's get into a dick measuring contest on who has the highest SAT score.  Then, we can go back to getting our doctorates in art history.",1
196,"  I see you are a snob. You think your too good for us. Well, elitist, leave.",1
197,"  ==You Suck==  I despise you, you are a snobby, jerky Quinn who should be banned forever from editing.  ",1
198,  : I will NOT spend my days justifying myself to a troll! ,1
199,"   ::Why not admit it? The only reason you disagree with anything is because you are an obsessed troll, whose sole agenda is causing discord. ",1
200,"This user is deaf discriminator, facist, and racist",1
201,ENOY FACKING SMALL KIDS AND EATING PELICAN SHIT,1
202, :Of course you're retarded for putting up nonsense on wikipedia talk pages. Please refrain from doing thus in the future.  ,1
203,  ::Don't talk to me troll. ,1
204,as vandals for content disputes. Grow up.,1
205,  == matt J! ==  matty j is a right winged nut!,1
206,"  == WHAT A FREAK! ==  HOLY CRAP YO, HAVE YOU SEEN SOME OF HIS PHOTOS? MAN, THIS GUY NEEDS TO GET A LIFE! ANYBODY AGREE? HAAHHAHAAHAHA!",1
207,  Ummm... you are very narcisistic. You wrote an article about yourself.,1
208,  ==Communist bastard==  I have nothing more. ,1
209,  == Fuck you cunnywafts ==  :D,1
210,  ===Gibraltarian===   GET LOST. DO NOT CONTACT ME AGAIN UNDER ANY PRETEXT. YOU BEHAVIOUR IS BENEATH CONTEMPT. GO AWAY!  ,1
211,"Matt Crypto, Craigy144, and Stormie are jealous losers and liars",1
212, You are insane. What is wrong with writing an article about the year 3535?,1
213,  Quit vandalizing the George Bush page you stupid liberal.,1
214,"  == Excuse me... ==  no, fuck you.",1
215,"  == GamesBids ==  um, how do you get the idea tha5t you are only one who can speak for that whole community?  step off kiwi bitch.",1
216,"  All Right! Let's play by the rules then! Tell those faggotts, to stop fucking with my contributions then. They don't use sources correctly, they use them to amuse themselves! Subwayjack",1
217,"\  and, btw, Eloy are a fucking bomb ass band.",1
218,"  This poor snich, Jareha, such backbone! A real heroes hero! Smack him one time for me Kate before I lose my civility!!! Peace! Subwayjack",1
219,"  Dick cheese sounds more fitting for you!!! I don't waste my time with games, you crazy Canuck! Subwayjack",1
220, Im not doing this GODDAMN!,1
221,"  ppppssssshhh, hahaha, funny ass shit",1
222,"Yes Ah soooBig Dumb Object, just a bunch o hosers, give up so easily..quitters",1
223,"Jmabel, what kind of site is this? A serious one, or a bad joke? This site must have true informations and not stupid jokes like Node do it!!!  ",1
224, Headline text  FUCK YOU ,1
225,YOU FUCKING SUCK I HATE YOUR FUCKING SITE IT SUCKS ASS!  ,1
226,  == Stabby McPenis == * Stab ** Stab stab stab,1
227,  == Fascist ==  You are a fascist to boot.  I take it there is no reasoning with you.  I'll just report your abuse of discretion directly to the arbitration board.,1
228, **Considering I spell properly and you're just a racist... go soak your head. OR do some real research rather than being a censor monger.,1
229, DO SO ALL MEXICANS AND   BLACK PEOPLE ARE SHIT HEADS AND IM IN THE KKK FUCK HEADS!!!!!!1,1
230,Some idiot named Dick Clark keeps on writing false information about my colleague Walter Block.  Please keep him off the board.,1
231," ==I haven't broken any laws, or said anything wrong== Why was I blocked/? Is there any justifiation for this block??? AT ALL??? Just a rogue admin?????? ",1
232,"   Good god, you wiped out my post just now. You can't even speak in coherent sentences.  Bascially, you've been busted.",1
233, :i will heed your request only if you likewise warn . i will give you one hour to do so. Anus,1
234, : wtf? you are now just as bad as fcytravis. WHY NOT WARN HIM!? Anus,1
235,  == oi ==  I've had enough of your threats mr. Sort yourself out.,1
236,"  and no of course it doesn't work, anyone can just use a proxy to evade the ban, your a fcking dumbass.",1
237,"  == Wow == Ya'll are smoking some crack then, eh? Stop leaving kinky messages in my talk page, ya sexually harassing bitchez.",1
238, YOU! Talk to the hand!   ,1
239, This is the VERY hand  uses to molest your children!   ,1
240,  His name is fucking Cohen. Enough said. ,1
241,"   If I was so wrong, than report me. The consensus agrees with that statement. And by the way, congratulations- you're the first user I've seen who gave barnstars to themself. ",1
242,"  Yea only Nintendo Fool, are the fools that uses it:P  ",1
243,  == LOL PENIS! ==  LOL!  I AM TALKING TO YOU SO THIS SHIT IS NOT VANDALISING!,1
244,  == hey cumtaster ==  how is the cum tasting going?,1
245,"  == um hi lol ==  r u fixin 2 do something about it, fag?  ",1
246,GO THE FUCK AWAY DUMB COMMIE SCUMBAGS!,1
247,  ==MTA strike=== KEEP YOUR VANDALISM IN CHECK COMMIE SHIT STAIN,1
248,Horace Mann does have the best Model UN team in the country.  You're clearly just jealous because you weren't good enough to attend    ,1
249,  == Fuck You ==  Fuck You. Get a vinyl and put in your mama ass your scrotal dj,1
250,"  == Han.. Fuck You ==  Then, fuck you!",1
251,  ORLY? Fuck You Again n00b,1
252,  GET A LIFE shit Nerd!,1
253,  == You Haven't a Clue ==  You Haven't a clue what vandelism is so FUCK OFF!!!,1
254,"  == Southwest Page ==  I was simply removing a foolish statemnet, fool.",1
255, Go fuck yourself you lifeless pedant          ,1
256, :::I bet this asshole is far from playing by her own rules ,1
257,  Im an amdin and can do whatever the fuck I want >[[User_talk:Malo|(,1
258,whatever the fuck I want so just get the fuck off our site we dont want you,1
259,can suck my nine foot throbbing cock,1
260, Please Dont fuck with us and ,1
261,  Dont fuck with wikipedia admins you filthy jew   ,1
262,"  ==STOP!==  Jtkiefer, you had better stop putting all that stupid junk on my IP page.  read it.  you'll see what i'll do if you do it again.  ======Anna05======",1
263,i hate yu gi oh and dont know why i made this page,1
264,  :U have your nose so far up his A$$ u look like Pinnochio.,1
265," == THE OFFICIAL DEATH CERTIFICATE== BY RUSSIAN GOVERNMENT SAYS DEC 21 1879 AND YOUR OTHER LANGUAGE WIKIPEDIAS SAY SAME, GROW UP, WILL YOU!",1
266,"WHO GIVES A FUCK IF ITS GOT A LITTLE HYPHEN IN THE MIDDLE, YOUR A FUCKING-NERD WHO HAS NO LIFE, NO CLASS AND NO CHANCE OF LOSING YOUR VIRGINITY  ",1
267,"Oh, and you suck dick. ",1
268,  Typical coverup crap and they only bother to discuss it AFTER their phony merge listing was removed for their lack of bothering to discuss.,1
269," ::Same to you, vandalboy. Stop vandalizing Islamist Terrorism by deleting sourced material.",1
270,  Oh look a fucking islamist with admin powers fuck you asswipe.,1
271,  Do you suck dick private? BULL SHIT!  I bet you could suck a golf ball through a garden hose! | ,1
272,  == Japanese Bastard ==  Fuck off you evil race.,1
273,that things that we use everyday aren't correct. wikipedia blows cock and so do you.,1
274,  == tom harrisons a g@y bitch ==  UR A FUCKING GAY FOO BIOTCH SO GO BACK TO THE CORNER AND START FINGERING URSELF AGAIN YOU STUPID BIOTCH,1
275, AND YOUR A FUCKING GAY BITCH,1
276,  ==Stop==  Stop kissing a** so much.  Be your own man.  DrJoe ,1
277,im gonna shit in your sandbox in a minute.,1
278,"fisrt, ANYONE WHO BELEIVES THIS CRAP IS A FOOL",1
279,- IM BLOCKED BITCH!!!!!!!!!!!!!!!,1
280,  == My personal attack on you ==  Yeah you-I am personally attacking you-regarding the fact that you are ruining Wikipedia with nonsense! ~~TheBlackLarl,1
281," you stupid cunt. (Oh, and I fucked your mother last night. I hope you die.",1
282, Fuck FINLAY McWALTER hes a faggot and he needs to get a fucking life faggot.  ,1
283,"  WARNING! This page is for NERDS ONLY, please leave if you are not one, stay if you are a girl though, pleeeeeeeeeeeeeaaaaaaaaaaaaaaaaaaaaaassssssssssssssssseeeeeeeeeeeee!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!11111111111111111111111111oneoneoneoneoneoneoneoneoneoneoenone",1
284,".  I love sex with men, espicially recieving analingus",1
285,"  ==You== You already pulled this persecution and threatening crap once. I don't care what you say, you're just a thug. Got it? ",1
286,  ==Back off== Yeah I know you're in cahoots with linux nutcase and you like persecuting people. Stop pulling this persecution crap. ,1
287,"`  :Talking about useless shit constantly on a supposed encyclopedia is hardly ``hard work``, no one is losing much.  `",1
288,  : ...  :I didn't do any more after your warning. What a fucking joke man you are. - ,1
289," :Come on, we've had enough of your fanatical extremism here without adding your sexual fantasies of whipping me here too! ;) -Raja",1
290,"  Yeah, WMC is IMHO a jerk. And very soon, and admin! But unfortunately I don't have enough edits to help your Arbcom vote either.  ",1
291,FUCK FUCKITY FUCK FUCK FUCK ,1
292," : LMAO, what a n00b. Go and listen to manele!  ",1
293,"  ==See == That's right. And continue mocking us all you want. Goodbye, bastard.  ",1
294,"  ==You're Hell-bound!==  Adam, as seen as you've admitted to being a pro-[faggot]], you are going to end up buring up in the Lake of Fire in Hell! - ( )",1
295,"  ==Unban==  Go to hell, Android79! I do not consider my edits vandalism! ",1
296,"Hey asshole, she's 18 years old. The briefing stated it. Changed.   ",1
297,IM A FUCKING ASSHOLE!!,1
298,  == U r a batty ==  U r a batty boy. Leave me alone im not a vandal u twat,1
299,  Fuck you asshole. Allahu Akbar.,1
300,"  ==stupid blocks== real cute first you block then you vandalize my comments. do it agan and i will report you, pov pusher. ",1
301, socalled deicision isnt worth shit,1
302,  fine u can keep pulling this shit and uve got a bunch of islamo pov pusher admins on ur side so i fucking quit u can have it. ,1
303,  It's a fucking disgrace.  ,1
304,", 20 January 2006 (UTC) *Remove, really bad photo and what the hell is that infidel woman doing there? She ain't clothed properly also. -  18:33",1
305,I SAID GO FUCK YOURSELF. WHY ARE YOU CHAANGING IT,1
306,SHUT UP. GO FUCK YOURSELF YOU DIRTY CUNT.,1
307,Look what I get when I search for Ass kisser. KIMP   :::,1
308, DONT BREAK WP:3RR BIATCH,1
309, :What are you retarded? I already am blocked. What a fucking moron.,1
310,   == WTF LUCKY. YOU DON'T GO AROUND DELETING OTHER PEOPLE'S ARTICLES. WHAT IS YOUR PROBLEM? ==,1
311,` ==``ass wipe`` editor==  yippee yehaw okie dokie no more vandalism for me thanks  `,1
312,"  == Your a dick head!! ==  How dare you go around deleting peoples articles. What kind of retard spends all their time on the computer... you, you nerd!!",1
313,"  == Hope he dies soon ==  Now this Atheist filth's wife has gone, he should follow soon and give us all a rest from him Paedophillic behaviour.",1
314,"   == Hope he dies ==  Now this Atheist filth's wife has gone, he should follow soon and give us all a rest from him Paedophillic behaviour.",1
315," ==You want to meet me vandal== YOU WANT TO TRACK ME DOWN AHOLE? FEEL FREE TO WRITE ME, GIVE YOUR EMAIL AND I WILL MEET YOU JERK!",1
316," :Really good contributor? Bullshit. The cabal disagrees, and they are in control.   - ) ",1
317,I SHOULD BE UNBANNED THIS INSTANT! GO TO HELL Android79!,1
318,"ill keep changing and fucking around, ebcause oyure a 16 yo pimply fuck.",1
319, THIS ARTICLE IS PURE LEFT WING STUPIDITY FROM TOP TO BOTTOM- A WHITEWASH-STALIN RULED BY TERROR-THE MAN WAS A MONSTER,1
320,  == ITS TIME TO KICK THESE LEFTIST FOOLS OFF WIKIPEDIA ==  ENOUGH OF THIS LEFT WING PROPAGANDA AND NONSENSE,1
321,  == NAZIS RAUS ==  SHUT THIS NAZI NIXER UP,1
322,  == FUCK YOU YOU RED SCUMBAG ==  FUCK YOU YOU RED SCUMBAG-WIKIPEDIA SUCKS,1
323,  :Call it being pushed into a corner or call it being a dick. It's all the same.   - ) ,1
324,"   god, what part of fuck off dont you little pimply mouth breathers don't understand? Cna't get a girl but your'e king of shit mountain, huh? I laugh at you.",1
325,"  God fuck you too, pimple ass.  My additions are better, you guys are just to stupid to realize it.",1
326,  :Bite me. In the butt.   - ) ,1
327,", but be careful because I took a shit in it",1
328,"  How about, instead, you go fuck yourself.  Hm?  How about that?  You'd like it, I'm sure.",1
329,u r a tw@ fuck off u gay boy.U r smelly.Fuck ur mum poopie,1
330,"  ==Try Android79, and DreamGuy==  Both very unpopular with other Wikians, and both seem to be a%%holes, uneducated, arrogant, and just dumb as a post.  beckjord ",1
331,"   You should unblock me cause I have a twelve inch penis. If you don't unblock me I will use it in your ass, Ichiro.",1
332,"`  == Seriously ==  By god, who the fuck made you special? Don't deem my factual entries ``unusful``. Fuck you.`",1
333,"  ::MOtherfucker, you have already broken the rule of 3-reverts.  you are obviously a moron.",1
334," Nazi.  You can delete my talk page, but i do it to you and im banned.  Fucking fascist.",1
335,  I always got the impression he was a real cunt of screen. Can anyone back this up? ,1
336,"  == You suck dick ==  Admit it, you love it you fucking woodhead.",1
337,  You should block this idiot for life!  ,1
338,  You should bar the self proclamed asshole forever! ,1
339,I think you should ban that jackass forever!   ,1
340,  ==I saw you got blocked== To bad it wasn't for life dickhead ,1
341,  == rome is gay ==  rome is gay i hate rome,1
342, ==Reply== Why dont you visit hell where you belong?,1
343, ==Stop== Stop screwing Chopin's birthday you uneducated ignorant.,1
344," :Well...that was stupid...I told you to send it the wrong place!  (But I've since email your provided addy from two different places, so we should be all set.) ",1
345,aka cock sucking lover of VegaDick ,1
346,  ==   ==  Go fuck yourself,1
