,q_a,label
60,anyone want to go with me to prom ,0
61,"I mean, sure lmao jk idk u and u most likely don't fo to my school.",0
62,What is your best feature? ,0
63,Idk what do you think? I personaly like my hair lmao,0
64,what word makes u feel the most uncomfortable? ,0
65,"Hmmmm, probably anal orrrr ihdrk",0
66,Hmu im single ,0
67,So am i but im not desperate lmao,0
68,Hahah first impression xD ,0
69,"Oh lmao it's fine, I'm not one of those people who are like ""First impressions mean everything"" no, it's who the person is who impresses me, not their first impression. LMAO",0
70,Whats Green and smells like bacon...... Kermits fingers ,0
71,"lmao, u son of a bitch",1
72,Who like Michael Jordan?  Or Who like LeBron James? ,0
73,I like bofe,0
74,Yo does anybody want to buy me minecraft for the Switch ,0
75,"lmao no, im broke, idk u, and i have mc on xbox",0
76,Do you agree that nobody goes through more shit in life than a person with a good heart? ,0
77,never heard of that. I like it. :),0
78,DOUBLE STANDARD Why is a 2 year old boy allowed to be naked at the beach but a man cannot ? ,0
79,Because a man will try to fuck,0
80,How big is too big for you for fuck? ,1
81,Idk i only had sex once,0
82,"Eyes but i here you have a nice butt to, how about driving from back ",1
83,Lol thank you,0
84,what word makes u feel the most uncomfortable? ,0
85,"Tbh i have no clue, sex ig",0
86,What is one thing that many people don't know about you? ,0
87,you are hoe like me,1
88,"How short is your shortest shorts, I head its small ",1
89,The bottom of your ass,1
90,What advice would you give to children today? ,0
91,Don't fuck up,0
92,Anal ,0
93,"idk, never had anal sex",0
94,Can you recommend anything to read? ,0
95,Evermore by Alyson Noel if you like immortal shiz,0
96,Whats the first thing youd do if you were the opposite sex for one day? ,0
97,I wouldn't go to the bathroom and the first thing i'd do is tell everyone XD,0
98,Name 3 thing you never thought you would do but did ,0
99,"Kiss my ex bffs bf, talk shiz about someone im friends with, and the last is a secret",0
100,If you were to write a book what would it be about? ,0
101,Relatable shit,0
102,I remember that u salked a guy named ryan and it was hilarious when you told him about that he was hot and calling the fire department  ,0
103,lmao when? U studpid fuck,1
104,What was the first band or musician you were really into? Do you still like it? ,0
105,"Justin Bieber, and fuck no",0
106,Any one else experiencing alien type shit rn  ,0
107,No what is it?,0
108,Which camera is better to shoot a video on? ,0
109,"outside camera because what if you wanna show something on the outside, you'll have to flip your wrist and it wont show half the shit you want... lol",0
110,Bijouterie or jewelry? ,0
111,wtf is that?,0
112,Wow damn cute!  Sc/Kik? ,0
113,Idk you,0
114,Do you have line ? What's your id ,0
115,wtf I'm not telling you! And IDK SO LEAVE ME ALONE,0
116,"What would be your action plan, if there were no more electricity in the world? ",0
117,I wish you die,1
118,"I think I commented on the wrong person, sorry about that, lmao awkward ",0
119,Lol,0
120,i think george likes you ,0
121,no je doesnt HE HAS A FUCK**G GIRLFRIEND!! Everyone stop talking shit about them bc they never did anything to you so they dont deserve this! just leave them alone!,0
122,Pap of you id card for school ,0
123,Hahaahaa wtf look at the arrow PHOTOBOMBED,0
124,Isabel u have sex with someone? ,1
125,"WTF NO!! IM NOT TTHAT OLD!  WHO TF IS THIS?? THIS BETTER NOT BE JOSH ADAMS WHO WANTS TO DO IT WITH SOMEONE, I HAVE THE PROOF ON CHERIES ACCOUNT!!!!!",0
126,What do you want to know about the future? ,0
127,We all die and god makes a new eartyh just for us in heaven,0
128,What created our World? ,0
129,"Not what, who, and God the father of Jesus Christ",0
130,Whats the first thing youd do if you were the opposite sex for one day? ,0
131,"For one, never go to the bathroom, and. Yes I can hold that long and two I would just sleep",0
132,The first thing to your left is your weapon in the zombie apocalypse. What is it? ,0
133,"Damion. I'm in third hour. He is my shield and gun, I want him to be my shield so I dont die :)",0
134,Who are your favorite ASKfm couples? ,0
135,Michael Renzi and Lorenna Singer they are the cutest couple I know,0
136,Who was the last person of the opposite sex you talked to? ,0
137,today,0
138,Whats the first thing youd do if you were the opposite sex for one day? ,0
139,"not go to the bathroom for a VERY long time and i would go around saying isabels not at school then  i would just walk away like nothing happened, nah i would just not go to school",0
140,Who was the last person of the opposite sex you talked to? ,0
141,"Um I think Ashton queen or Gavin riser, or tanner Piwowar, or Carson stoneburg.... Idk",0
142,What is the purpose of life? ,0
143,"To die it's true, we live to die, then we rellive up in heaven then the world is going to die and. God makes a. New earth just for the. People in heaven then a bajillian years later it's all going to happen again, there are a,kready flying cars, PLANES. We all fly in one big ''car'' and we fly in it and listen to music and so on, so pp, stop wishing for flying cars!!!",0
144,Are there any places you are afraid to visit? ,0
145,Hell,0
146,Whom would you like to meet? ,0
147,God and Jesus,0
148,Who was the last person of the opposite sex you talked to? ,0
149,"LIKE I SAID ALREADY SAID!!! USE THE WORD GENDER!!! And It was Gavin Riser if you mean at school, and at home my bro just now :)",0
150,-.- delete that question lmfao ,0
151,omfg,0
152,Who was the last person of the opposite sex you talked to? ,0
153,"...not sayin, and use the word gender!!!!!!",0
154,Which animals scare you most? Why? ,0
155,"Bull because I dont want to die when they run me over, if they ever do",0
156,Who was the last person of the opposite sex you talked to? ,0
157,Dean,0
158,Is it ethical to eat meat? ,0
159,I think so we need meat to survive as part of the food groups we have so I think it's perfectly fine but it also depends on what type of meat though so yeah why was I being scientific with that answer? I suck at science class,0
160,Is bad sex a big enough reason to leave a relationship?? ,0
161,No,0
162,Who here would immigrate to mars ,0
163,Hell no.,0
164,"When youll be 90 years old, what will matter most to you? ",0
165,If I die happy/if I made it to heaven,0
166,What's your favorite funny movie? ,0
167,Beavis and butt head do America its a classic,0
168,Is it easier to fall in love in spring? ,0
169,Hell no  but yeah probably because there are more activities to do,0
170,"What would you do if your boyfriend told you ""I want you to dress like the Statue of Liberty in bed, wearing a crown and holding the torch of freedom""? ",0
171,Id say hell no,0
172,Does anyone here like going commando. ,0
173,Annoying ass question,0
174,What happens if I stick my fingers in Dana Brooke butt ,1
175,Idek who that is but thats nasty,0
176,Does anyone else smell something they think of their ex? If i smell my shoulder or smell feces after i go to the bathroom it makes me think of them. ,0
177,well shit,0
178,Whats your worst fuck experience? ,1
179,Feeling like youre having sex against your will,1
180,Has your foot been kissed before ,0
181,"No lmao, I would like you to suck my pussy",1
182,which super power do you want to have? and if u get that what would u do? ,0
183,Invisible.. Id rob banks lmao,0
184,Would you make your kids smell your feet as punishment? ,0
185,Eewww wtf,0
186,what happens if i dig in dana's butt ,1
187,Wth?,0
188,Greet me a happy birthday. And give me a sweet message. Just think that I'm your closest friend.  ,0
189,Happy birthday you old butt hole,1
190,You're planning a nice dinner party but could only invite 2 people. Who would you invite? ,0
191,Fuck that Ill eat myself nobody deserves the shit Ill bring to the table,0
192,Its my first question tho ive spook many more ,0
193,Whatever,0
194,lmao very nice and smart  ,0
195,Very,0
196,"IF MY CAT COULD TALK. Cat: What was that?. Me: Sex. Cat: Ewww, don't do it anymore! ",0
197,"lmao, you prevert bitch animal fucker",1
198,What do you do for other people to love you? ,0
199,Nothing I dont give a rats ass if people like I like myself thats enough for me,0
200,Is restricting bathroom use a good punishment for kids? ,0
201,No wtf,0
202,Should I take my anger out on all the girls who rejected me because I want to make their lives a living hell just as they made mine ,0
203,No just move on and be positive,0
204,Do you think I should be with my man I think hes cheating everyday ,0
205,Hmm maybe find some evidence then decide whats best for you because if choosing to be a hoe you cant stop him hes making his own choices,0
206,"Uh oh, I left the air on ",0
207,Dammit left on overnight Im  as big ass the whole state of Idaho,0
208,Your butt is still big though lol ,1
209,No?,0
210,*you push me again the wall with your giant balloon butt* uh oh ,1
211,But Id inflate like a balloon not just the butt think bout it,0
212,Happy spook day to you aswell ,0
213,Thank ya:),0
214,What could be your reasons for discontinuing friendship with a person? ,0
215,bitches,0
216,what makes a guy hot? ,0
217,"Well lets just say a guy could have the nicest body, defined muscles and all that, but if his personality is trash he will automatically be ugly as fuck",0
218,Who do you find attractive? ,0
219,Captain America and his Americas ass,0
220,Were you in a relationship with someone before??? ,0
221,Nope. Almost was on a few occasions but I made people work before I enter a relationship with them because Im not here to fuck around,0
222,Have u followed a bad advice? Which one? What happened? ,0
223,Not really  If Im unsure about advice I wont do it lmao,0
224,What's something you're not very good at but enjoy doing anyway? ,0
225,art lmao,0
226,What's the last photo you took on your phone? Post it! ,0
227,I take boring photos lmao,0
228,Would you ever try the blueberry gum off of Charlie and the chocolate factory? ,0
229,Umm probably not. That shit looked dangerous as hell,0
230,Why is it so hard for men to express the truth and their REAL feelings? ,0
231,Because society is fucking stupid and most men were raised on the idea that being open and honest makes you less of a man which is bullshit. Real men dont give a fuck about what lies society has spread. Honestly think it makes them less of a man to believe that bullshit and care so much about their masculinity. Dont @ me,0
232,Post a pic with your friends? ,0
233,What friends lmao,0
234,What something cool about you? ,0
235,I can always count on myself to piss other people off by proving them wrong with hard facts and evidence,0
236,what would yall do if yall found yall boyfriends with another girl in a club?  ,0
237,Ask if he would mind if I took a minute to dance with her and then tell her who I am and watch him get uncomfortable before dumping his sorry ass together,0
238,"Specific question: do you drive with sneakers and no socks sometimes? If so, what sneakers did u wear sockless to drive with? ",0
239,The $6 ones from Walmart lmao,0
240,Do you always smile for pictures? ,0
241,Nah Im awkward when I smile lmao,0
242,Will you be my girlfriend ,0
243,Hell nah bro,0
244,What's the craziest thing you've done? ,0
245,Everything I did while I was in Mexico lmao Im lame,0
246,who are you when no one's watching? ,0
247,The same person lmao,0
248,Have you ever knocked a girl out in a fight ,0
249,Never gotten in a fight lmao,0
250,The Lego Batman or Ben Affleck's Batman? ,0
251,Lego lmao,0
252,How often do you draw? What do you like to draw? ,0
253,Not very often. Random shitty things.,0
254,How far would you go for the one you love? ,0
255,Id die for them.,0
256,What would you do if one random day an animal starts talking to you in a language you can understand? ,0
257,"Id say, Fuck yeah! And have a pleasant conversation with them. Definitely wouldnt tell anyone because then theyd take my precious new friend for experiments n shit",0
258,Is a period really that bad?..... it is just red water. ,0
259,Buddy why do you come on here just to try and piss females off,0
260,What has life taught you so far? ,0
261,People suck,0
262,single/taken/talking? ,0
263,Engaged wtf gtfo,0
264,What shouldn't you do on the first date? ,0
265,Be a dick,0
266,What do u prefer to do when you are all freaked out ?  ,0
267,Watch scary shit,0
268,What would you do if you could inflate your body like a balloon? ,0
269,Float away from all the bullshit,0
270,What did You learn today? ,0
271,Today I learned that my cats have already started tearing holes in our brand new expensive ass curtains and I need to learn how to make them stop because theyre pissing me off.,0
272,Would you ever have sxx for money? ,0
273,lmfao no,0
274,What is at the same time funny and sad? ,0
275,"That one video where the husband tells his wife he bets she cant tell him something thatll make him happy and sad at the same time and she says, you have the biggest penis out of all your friends",0
276,Do you wear seatbelts with family and go without with friends or wear them with friends and go without with family? ,0
277,I wear seatbelts 110% of the time regardless of who Im with wtf,0
278,HMU On snap Im a single boy so hmu girls Im 17 might trade pics with you and add me on insta  snap is tyholman1 and insta is Tyrell.holman20 ,0
279,Damn boi u thirsty as fuck,0
280,Maybe men and women are sex obsessed. ,0
281,Maybe it depends on the person and isnt classified by an entire gender,0
282,Why are women obsessed with sex ? It is destroying America.  ,0
283,"Yeah, because its women that are obsessed with sex. Keep telling yourself that bud",0
284,What online games are you interested in? ,0
285,"Fortnite, Sims, Fortnite, I dont play many online games. Ooo, and Runescape lmao",0
286,what's your favorite poet to read on rainy days? ,0
287,Edgar Allen Poe because Im basic as fuck,0
288,How much money have you spent today and on what? ,0
289,None because Im broke lmao,0
290,Is fire alarm at home a necessity? ,0
291,absolutely wtf,0
292,What gossip about yourself has made you laugh? ,0
293,That I was pregnant lmfao,0
294,Just a reminder that Jesus loves you  You are beautiful and don't let anybody tell you different. ,0
295,thank you,0
296,It's the birthday of iPhone! Have you ever owned one? ,0
297,own one now and its shit,0
298,How many people outside your family know your Wi-fi password? ,0
299,Well shit anybody Ive had over really,0
300,"touchy brakes suck haha, how did u handle them? ",0
301,Meh just got used to them,0
302,"Lmao that's interesting, if someone who never got a spanking would ask you how it feels like how would you describe it? ",0
303,Hell,0
304,Lol you always just got like 4 or 5 smacks? never more? is that even a spanking? lmao ,0
305,"No, more. I would try not to cry so it'd be a while. Sometimes even after I was crying they would keep going.",0
306,Haha sometimes after i got my butt toasted i ran to the bathroom and looked on my butt in the mirror to see how red it was!  did you ever do that? Lmao ,0
307,Lmao yes and sometimes there would be bruises n shit bc la chancla n shit lol,0
308,Haha so you think that talking about punishments is interesting? You're like the coolest person ever! ,0
309,Hell yeaaaahhhhh,0
310,What kind of advertisements attracts your attention? ,0
311,Makeup. Animals. Satisfying videos like sand shit idk,0
312,What if something scary happened in real life? ,0
313,If the man in the wall was real I would poop my pants #heykiddo,0
314,What made you laugh recently? ,0
315,When Walker had told Mythror to get his butt inside his butt inside the game XD,0
316,are you saving up for anything? ,0
317,Hell yeah. Finna blow all dis money to travel with my hoes,1
318,Is it cute when people go without their glasses? ,0
319,Hell yeah.. I look better to most girls when their glasses are off hahahah,0
320,Whats your worst secret ,0
321,I shit my pants too many times when I was young,0
322,Do you have a crush on someone? ,0
323,Yah. Oh hell yeah. Im in love,0
324,How do you feel about yourself? ,0
325,A strong 6 with a nice ass smile  Maybeeeee a 7 on a good day,0
326,Are Allan and Ivy dating? ,0
327,Bruh.. shut the fuck up. Get off my dick and everybody else. You annoying.,1
328,"When you are in love, does age matter? ",0
329,Yes you pedo ass nigga,1
330,What do u look like right now ,0
331,Handsome as hell,0
332,What is something you will NEVER do again? ,0
333,Eat ass lol,0
334,Do you have any nickname for your friend? ,0
335,No. I call them bum or bro lol,0
336,well damn who wouldn't be nice to you ,0
337,Lol to think of it. That's true since people who I hang out with are church members. If you're a kind person.. I think that's a very attractive trait,0
338,foreal though ha Every time I see you I smile cuz you're just so damn cute ,0
339,Did you see me today ? Oh staph it you,0
340,what do you think of Marianne ,0
341,u pussy My nigga :D,1
342,How did you meet Azariah? ,0
343,Oh man.. I don't wanna talk about it lmao,0
344,Bet you don't even know what bakla means ,0
345,.. you need Jesus,0
346,Doesnt it suck when u find the girl that meets ur standards but u cant have em ,0
347,Nah. I don't have standards,0
348,Aw shit who's the girl? ,0
349,Who?,0
350,I'm gonna make you admit that your gay ,1
351,... you need some help man,0
352,Of course theyr not gunna admit if they gay or not ,0
353,...... right.. Sure,0
354,Can i hit on randolph? ,0
355,Ask Allan for an application first lmao U might be on the waitlist lol,0
356,Allan looking shit  ass nigga ,1
357,He's 5'8.. I'm 5'9. We're nothing alike,0
358,"What is the most embarrassing poop or fart story you have experienced or ""heard"" ",0
359,Lol.. I shitted my pants twice in middle school during class. I ran home and the poop came out of my pants.. Without a doubt the most embarrassing moment of my life.. lmao,0
360,are you sure you're not gay? ,1
361,So I went back on here and this is the type of question I get... Fuck you Allan. And nigga I'm not gay.. Wtf ?,1
362,Did Allan make you eat mayonnaise ? ,1
363,That nigga is obsessed with mayonnaise.. & yeah,1
364,Did you watch it with others ? ,0
365,Lol.. Nah.. It was just me. I cried like a bitch too.,0
366,When was the first time you cried ? ,0
367,When I was born.. But while I was growing up ? Either when my parents beat my ass or watching that one scene from the Fresh Prince when will vent about his dad to uncle Phil..,0
368,I heard you needed a spotter (  ,0
369,You gay,1
370,damn someone really wants to know who you have a crush on hahaha #obsessed ,0
371,Hahaha hopefully it's my crush asking all these questions,0
372,Lol I do fag. Never see you anymore. ,0
373,:)  I know.. hahaha its gay boy Allan's fault.,1
374,would you rather suck dick or gargle a cup full of mayonnaise? ,1
375,You're sick !!! I'll gargle the mayonnaise. Gross..,1
376,How's the single life treating you Dat ? ,0
377,"I don't think being single was ever a choice for me lol... But tbh, it'd be nice to have someone so I can touch her butt all the time",0
378,"Lauren's got no ass and tits though, gotta passsss! Go for Anre hahah ",1
379,Lol.. Don't hate.. And sure.. I'll give it a shot..,0
380,"you're a fag for copying allans answer.  anyways, how was masturbating all day? ",1
381,He copied me.. That was funny lol.,0
382,"If you were a girl, and you can fuck any guy friends that you know of. Who would it be ? ",1
383,Uh.. Definitely not you fag. I don't know.. That's hard. I might just become a lesbian :\,1
384,OMG !!!! Are you ok ? What happened ? ,0
385,"Lol.. Thanks for caring. Don't worry, I'm still cute :) . Well, I borrowed my friend bike and this nigga gave me a bike with broken brakes.. We were going down a steep hill.. and.. well, you got the picture. Fuck that nigga",1
386,"if I invited you to a party with lots of lesbians, and all we had for food was cake and cock, but there was no more cake left. Would you still come to the party? ",0
387,LOLOLOLOL I know who this is.. You fag !,1
388,lol is it because Allan has a big penis that u want ? ,1
389,Uh.. I have a big penis.. you has a small penis (I think),1
390,glad to know you had the balls to introduce yourself :D ,0
391,What the fudge ? I got game son,0
392,what's her name ? ,0
393,Can't tell you ass pussy,1
394,would you date azariah ,0
395,Haha she's my nigga,0
396,"Bro. Saw u attended the WS tonight, u deserves a thumb up . Would u mind share what's the lesson about??? ",0
397,"Haha thanks :) .. To my understanding, it was about the distinction between God and Jesus Christ. Also, the minister emphasized on how there's only one God. Sorry if this is too vague",0
398,Do you know who's the girl Allan likes at SCC ? ,0
399,You ask me about things he doesn't want to answer. you nigga likes everybody. You son of bitch.,1
400,What did you wish for today since its your birthday ? ,0
401,"I didn't wish for anything, instead I thanked God for giving me such a wonderful 20 years of life and he surrounded me with amazing ass people who I can count on.. What more can I wish for ? I can't think of anything",0
402,"You said you think she has a boyfriend, why don't you just ask? Grow some balls u pussy ",1
403,"Wow wow !!! Geeezzz why are you so interested in who I like ? Man, she might think I'm desperate",0
404,that anon seems hella cray lmao like calm down... ,0
405,"Hahaha she was a little ""excited"".. But I guess she never saw two guys who has no similarities except their heights before. Lol",0
406,I'm taking about you to trying to confuse the hell out of people. Gosh ! ,0
407,Sorry,0
408,idk Dat who does he like? damn its over if you guys like the same girl haha what would you do ,0
409,Why is it over?,0
410,damn got my hopes up HAHA ,0
411,Not gonna lie.. She's cute,0
412,What's the difference between bromance and gay ? ,0
413,Uh.. Not sure. I guess as long as we don't start talking about other dudes penises.. It won't get pass bromance ?,0
414,too blind to see with them chinky eyes lmao I'm kidding. well how often do you see her? does she even know your name? ,0
415,"Allan, I swear to God I will kill you ! This better not be Allan. That's racist. Everybody knows my name, it's Dat. I see her when I see her. How are you gonna hook us up ?",1
416,who do you like at church imma hook u up lmao ,0
417,I don't think you can.. She's put of my league,0
418,you just called #teamiphone gay. i win again. you lose ,0
419,Don't you have a research paper to worry about ? Get off my dick u nigga !,1
420,wtf??! I swear that was a glitch. #teamandroid haha ,0
421,You're gay #teamiPhone,1
422,oh you mean Allan? jk ,0
423,She is my side bitch,1
424,It'd be funny if prisons let prisoners take their own mug shots? What do u think ? ,0
425,Hahaha we should call their mugshots Cellfies lmao,0
426,Do you think any of your friends are gay ? Or know but don't bring it up ,0
427,Allan is gay.. I always bring it up..,1
428,nigga shut up. welcome to my life ,0
429,Fuck your life.. I'll help you on your HW.. Shit.. You need the book tomorrow ?,1
430,Why is he gay? I thought he was straight.. That's sad ,1
431,Hahaha I'm gay too... We're all gay,0
432,Do you think girls are perverts too ? ,0
433,Hell yeah.. They are just like guys.. They hide it better,0
434,Allan can literally be your brother. You guys look alike ,0
435,No! I look better ! He's gay,1
436,Please tell me you're gay ,1
437,You're gay,1
438,Do you realize that we never stop tasting our own tongues ? ,0
439,Ahahaha wtf ??? That's true though,0
440,"When you looked at yourself in the mirror today, what was the first thing you thought? ",0
441,"Mirror mirror on the wall, God damn I look good !!!! Hahaha jk",0
442,I hate your friends. THey act like their good ,1
443,"They are fucking good.. Wait, that sounds so wrong ahahaha.. They are good people you shit, shut your ass up !",1
444,When was the last time you danced? ,0
445,August.. I robot danced the hell out of that one song,0
446,Id marry the shit outta you :P ,1
447,Lol  AHAHAHAHAHAHA who is this !!??,0
448,Describe your future ,0
449,"Imma finish college, get hired by a big co-op, have a six figure salary and live a good ass life. But the thing is.. I don't want any part of it",0
450,Do you consider yourself a creative person? ,0
451,Hell yeah,0
452,I think you're a bit gay tbh ,1
453,Everybody is,0
454,If you were an activist what would want to protest against? ,0
455,you Bitch ass niggas,1
456,What's your number one rule in life? ,0
457,"Lie if you had to, but own up to it if you get caught. Don't be a bitch",0
458,"If you could be invisible for one hour, where would you go and what you would you do? ",0
459,I'll run around butt naked for an hour and that will be the best secret I'll ever have.. I'd tell my kids about it hahahaha,0
460,How do you handle stress??? OR stress handle's you??? ,0
461,"It depends. Stress definitely handles me a lot of the time but if I try my best to ignore it and keep myself busy, usually I end up forgetting about it like I do everything else lmao",0
462,What's your favourite social media ? ,0
463,Ughhhh idkkkkkk ... probably facebook honestly! I never post my own stuff though. Its always just memes and funny videos... or videos about food because its food lmao,0
464,is there anyone that you want back in your life? ,0
465,Hell yeah,0
466,"Wanna be my girlfriend ,friend ",0
467,i am gay so no,0
468,So like sex or kissing? ,0
469,that's privileged information,0
470,Would you want a summer relationship... or would you rather wait till you go to Maryland and fuck all da bitches? ,0
471,why wait? id love to spend my last summer in florida with someone great,0
472,you like boys yet you would never give head to a boy and you don't even like sex with them??????? you're obviously lesbian accept it ,1
473,i like who i like,0
474,At what point is it considered lesbian sex? ,0
475,whenever two girls have sex,0
476,Did u and steven fuck ,1
477,stoppp,0
478,Can I give you a haircut? ,0
479,wtf nO,0
480,When was the last time you screamed? ,0
481,today when someone slapped my butt,0
482,"If you could say something to your younger self, what would you say? ",0
483,Move your ass and do stuff,0
484,Did you poop today or not yet ,0
485,Yes,0
486,"If you could replace anything from your body,what would it be? ",0
487,My legs and butt,0
488,What makes you nervous? ,0
489,People who talk too much not knowing shit :),0
490,Are you a shopaholic? ,0
491,Hell yea,0
492,"What to do, if I want to work? ? ",0
493,Get your ass off the couch,0
494,"Why are some men thin, and others fat, although they eat the same pasta? ",0
495,There are many lucky pieces of shit in the world lol,0
496,"If you had an ability to look into other's past, who would be the first one on which you will use your power? ",0
497,"Keep that shit dormant, its rude to pry",0
498,"How will u feel to talk to a person, you don't even know the name ? ",0
499,Id be okay with it as long as they dont show signs of being a dick,0
500,What gift would you like to receive? From who? ,0
501,"Well I asked someone for regular mens T-shirts but they are so unaccepting that they got me a goddamn designer womens bag that was far more expensive, those assholes. Im getting tired of it, maybe they could get me at least one decent T-shirt.",0
502,Who do you trust the most? ,0
503,"I dont trust a damn soul, who do you think I am?",0
504,Which three things would you take to a deserted island? ,0
505,Me. Id starve and die no doubts about it. Maybe a phone and a WiFi device that somehow works,0
506,What is at the same time funny and sad? ,0
507,I cant feel a damn thing,0
508,"If your clothes all had a personality, which do you think would like you the least? ",0
509,"My long sleeve dark gray shirt, he is the shit",1
510,Di you are really an inspiration to me i would really like to meet you and spend some time with you i adore you a lot ?you are damn pretty ? ,0
511,"Well thanks and nice use of question marks lol. Also I dont know about the whole meeting thing. I dont go out much and my mom would bug me about it. But thanks anyways, frendo.",0
512,Who you going on a date with? ,0
513,"No one, not for a while until her parents stop being little bitches",1
514,Are you living your dream ? ,0
515,Hell no,0
516,"You have an opportunity to make one person absolutely happy, but not yourself. Who ",0
517,"My significant other, if I used it on my mom it would go to waste because she refuses to let herself appear happy in order to guilt everyone into doing shit for her",0
518,Where do the happiest people live? ,0
519,Hell if I know,0
520,Anyone else having a really shitty day? :( ,0
521,Im always having a shitty day,0
522,What gives you immense pleasure? ,0
523,"When someone addresses me as male without me even telling them, unlike some peoples leg who aggressively misgender me even though Ive told them time and time again. I dontind if you dont know, but if Ive told you a thousand times and you PURPOSELY misgender me, I might slap a bitch some day.",0
524,What should a woman be like? ? ,0
525,"Whatever the heck they wanna be, other than an asshole or feminazi. Its okay to be a feminist, just dont be a nazi about it",0
526,heyyy guys im rly happy its summer bc school makes me wanna die ,0
527,Same,0
528,What does true friendship mean to you? ,0
529,"They dont care about you having no problems, theyre just there to laugh with you and talk shit about your enemies with you :)",0
530,What is one thing you will never do again? ,0
531,"Tell anyone in my family the truth about myself in any way, since they always seem to take it as if I am the devil and/or need to suck it up",0
532,Who's gay ? u  ,1
533,Just about,0
534,Who was your hero in childhood? Why? ,0
535,"My biggest hero was and is still Brendon Urie. This is simply because his vocal range is to die for and hes extremely accepting and protective of anyone not being accepted. Honestly, he is one of the best people on this earth. And yes I know he smokes weed, but thats exactly like drinking without the addiction or bodily harm so it doesnt sway my opinion. (It does kind of smell though)",0
536,What was the last thing made you feel sick? ,0
537,"Literally sick? Coffee. Sick of humanity or disgusted? Family talking shit about everyone not Christian, straight, or cis.",0
538,Do you think that tickling could be used to punish teens? ,0
539,"Hell yeah it could, unless they arent ticklish",0
540,Why do drivers violate the traffic rules?  ,0
541,Because they suck,0
542,"If you jumped into a black hole, would you come out as a pancake or as a pink rabbit? ",0
543,"Technically, you wouldnt come out at all. Its quite amazing but when one falls in to a black hole, everything but whats in that hole seems slow due to you moving unhealthily fast into the black hole. They could be about to blink as you disappear and youd see it all. Of course, youd die shortly after witnessing it because youre being sucked into a black whole. That kills people, yknow",0
544,What is the most important thing in life? ,0
545,"The most important thing in life for me is... well heck I dont know. I dont find meaning in a lot of things these days. Id die for anyone I know but thats probably just because I really just want to, not for heroic purposes.",0
546,are you gay cuz you look it ,1
547,Tf,0
548,Is that okay when a girlfriend hugging her male friends?What do you think? ,0
549,Yeah? I hug my male friends all the damn time and my boyfriend has no issue with it. Same with my friend's boyfriend. It's only the jealous types that get upset when their girlfriend hugs her male friends.,0
